"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
1713566.01,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
392403.07,"2018-04-01","600","Income Security","609","Other income security","40","Grants and fixed charges","420","Insurance claims and indemnities"
29107379.86,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","255","Research and development contracts"
1154145.13,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","240","Printing and reproduction"
857084907.81,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","40","Grants and fixed charges","420","Insurance claims and indemnities"
2370859.1,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","260","Supplies and materials"
143053746.68,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
16230356.4,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","252","Other services from non-Federal sources"
222915229.77,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","255","Research and development contracts"
782758104.25,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","252","Other services from non-Federal sources"
6190837455.82,"2018-04-01","400","Transportation","402","Air transportation","10","Personnel compensation and benefits","111","Full-time permanent"
11419184.26,"2018-04-01","600","Income Security","603","Unemployment compensation","90","Other","940","Financial transfers"
57912900.58,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","10","Personnel compensation and benefits","121","Civilian personnel benefits"
117390446.79,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","40","Grants and fixed charges","420","Insurance claims and indemnities"
590723.57,"2018-04-01","800","General Government","801","Legislative functions","30","Acquisition of assets","310","Equipment"
470529068.44,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","10","Personnel compensation and benefits","121","Civilian personnel benefits"
8181914.29,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","115","Other personnel compensation"
1938772.16,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
569331.49,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","118","Special personal services payments"
8116053.6,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","232","Rental payments to others"
8600,"2018-04-01","800","General Government","808","Other general government","10","Personnel compensation and benefits","130","Benefits for former personnel"
26279762.93,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","10","Personnel compensation and benefits","117","Military personnel"
53019179.19,"2018-04-01","450","Community and Regional Development","452","Area and regional development","40","Grants and fixed charges","430","Interest and dividends"
3614679.43,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","111","Full-time permanent"
3349393.2,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","256","Medical care"
2656040.3,"2018-04-01","400","Transportation","402","Air transportation","40","Grants and fixed charges","430","Interest and dividends"
3204841326.81,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
8238192.14,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","40","Grants and fixed charges","420","Insurance claims and indemnities"
9240458776.41,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","255","Research and development contracts"
