"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of State","Administration of Foreign Affairs","Capital Investment Fund, State",4215,"2","2017","2017-03-31",28828.97,15352855.37
"Department of State","Administration of Foreign Affairs","Centralized Information Technology Modernization Program, State",4223,"2","2017","2017-03-31",0,528349.22
"Department of State","Administration of Foreign Affairs","Conditional Gift Fund, General, State",4289,"2","2017","2017-03-31",589716.46,15791320
"Department of State","Administration of Foreign Affairs","Conflict Stabilization Operations, State",4216,"2","2017","2017-03-31",3326527.43,14200628.9
"Department of State","Administration of Foreign Affairs","Diplomatic and Consular Programs, State",4214,"2","2017","2017-03-31",5229839170.03,11343571810.42
"Department of State","Administration of Foreign Affairs","Educational and Cultural Exchange Programs,State",4220,"2","2017","2017-03-31",141421446.1,290671857.4
"Department of State","Administration of Foreign Affairs","Embassy Security, Construction, and Maintenance, State",4231,"2","2017","2017-03-31",2021748454.96,9569070629.85
"Department of State","Administration of Foreign Affairs","Emergencies in the Diplomatic and Consular Service, State",4225,"2","2017","2017-03-31",6380895.51,121649038.29
"Department of State","Administration of Foreign Affairs","Foreign Service National Defined Contributions Retirement Fund, State",4261,"2","2017","2017-03-31",7895139.13,15631162.31
"Department of State","Administration of Foreign Affairs","Foreign Service National Separation Liability Trust Fund, State",4286,"2","2017","2017-03-31",11860200.21,346256907.1
"Department of State","Administration of Foreign Affairs","Foreign Service Retirement and Disability Fund, State",4283,"2","2017","2017-03-31",477042749.97,69572.61
"Department of State","Administration of Foreign Affairs","H-1B and L Fraud Prevention and Detection Account, State",4262,"2","2017","2017-03-31",5833833.59,136302171.79
"Department of State","Administration of Foreign Affairs","International Information Programs, State",4217,"2","2017","2017-03-31",0,954868.37
"Department of State","Administration of Foreign Affairs","Office of the Inspector General, State",4229,"2","2017","2017-03-31",71287350.65,47670748.56
"Department of State","Administration of Foreign Affairs","Payment to the American Institute in Taiwan, State",4226,"2","2017","2017-03-31",17172222.14,5524790.63
"Department of State","Administration of Foreign Affairs","Payment to the Foreign Service Retirement and Disability Fund, State",4233,"2","2017","2017-03-31",91164019,0
"Department of State","Administration of Foreign Affairs","Protection of Foreign Missions and Officials, State",4224,"2","2017","2017-03-31",849546.86,16421882.04
"Department of State","Administration of Foreign Affairs","Repatriation Loans, Liquidating Account, State",4235,"2","2017","2017-03-31",0,862025.28
"Department of State","Administration of Foreign Affairs","Repatriation Loans, Program Account, State",4236,"2","2017","2017-03-31",745835,1000000
"Department of State","Administration of Foreign Affairs","Representation Allowances, State",4234,"2","2017","2017-03-31",3580383.2,2795862.63
"Department of State","Administration of Foreign Affairs","Salaries and Expenses, State",4212,"2","2017","2017-03-31",0,1324177.3
"Department of State","Administration of Foreign Affairs","Trust Funds, State",4282,"2","2017","2017-03-31",0,358310.07
"Department of State","Administration of Foreign Affairs","Unconditional Gift Fund, State",4288,"2","2017","2017-03-31",4159566.39,15678605.31
"Department of State","Administration of Foreign Affairs","Working Capital Fund, State",4256,"2","2017","2017-03-31",2168075778.46,4510711442.97
"Department of State","International Commissions","American Sections, International Commissions, State",4244,"2","2017","2017-03-31",5646306.85,3640475.65
"Department of State","International Commissions","Construction, International Boundary and Water Commission, United States and Mexico, State",4242,"2","2017","2017-03-31",17427772.42,84444699.35
"Department of State","International Commissions","International Fisheries Commissions, State",4245,"2","2017","2017-03-31",13765319.8,7617452.33
"Department of State","International Commissions","Salaries and Expenses, International Boundary and Water Commission, United States and Mexico, State",4241,"2","2017","2017-03-31",27594144.02,11770994.52
"Department of State","International Organizations and Conferences","Arrearage Payments, State",4251,"2","2017","2017-03-31",0,0.45
"Department of State","International Organizations and Conferences","Contributions for International Peacekeeping Activities, State",4248,"2","2017","2017-03-31",108499426,1663905389
"Department of State","International Organizations and Conferences","Contributions to International Organizations, State",4250,"2","2017","2017-03-31",1037277951,95288702.65
"Department of State","International Organizations and Conferences","International Conferences and Contingencies, State",4249,"2","2017","2017-03-31",0,29096.06
"Department of State","Other","American Studies Endowment Fund, State",4281,"2","2017","2017-03-31",0,42710.83
"Department of State","Other","Andean Counterdrug Programs, State",4254,"2","2017","2017-03-31",538.12,2008818.71
"Department of State","Other","Center for Middle Eastern-Western Dialogue Trust Fund, State",4287,"2","2017","2017-03-31",0,14098974.95
"Department of State","Other","Complex Crises Fund, Funds Appropriated to the President, US Agency for International Development",5340,"2","2017","2017-03-31",8798432.35,25269019.68
"Department of State","Other","Democracy Fund, State",4247,"2","2017","2017-03-31",43110951.36,199044058.4
"Department of State","Other","East-West Center, State",4218,"2","2017","2017-03-31",5030000,0
"Department of State","Other","Eastern Europe Student Exchange Endowment Fund, State",4285,"2","2017","2017-03-31",0,129199.03
"Department of State","Other","Fisherman's Protective Fund, Special Account, State",4257,"2","2017","2017-03-31",0,630948.81
"Department of State","Other","Fishermen's Guaranty Fund, State",4258,"2","2017","2017-03-31",0,2747861.55
"Department of State","Other","Global Health Programs, State",4240,"2","2017","2017-03-31",3444870588.01,9212017729.57
"Department of State","Other","Global HIV/AIDS Initiative, State",4239,"2","2017","2017-03-31",714418.91,19474605.45
"Department of State","Other","International Center, Washington, D. C., State",4259,"2","2017","2017-03-31",553221.62,2960358.07
"Department of State","Other","International Litigation Fund, State",4260,"2","2017","2017-03-31",1385315.5,19691787.41
"Department of State","Other","International Narcotics Control and Law Enforcement, International Security Assistance, State",3356,"2","2017","2017-03-31",276466903.54,1795899551.74
"Department of State","Other","Israeli Arab Scholarship Program, State",4284,"2","2017","2017-03-31",0,106994.93
"Department of State","Other","Migration and Refugee Assistance, State",4252,"2","2017","2017-03-31",1255117766.58,1063783731.34
"Department of State","Other","National Endowment for Democracy, State",4221,"2","2017","2017-03-31",97532305,46286.81
"Department of State","Other","North/South Center, State",4219,"2","2017","2017-03-31",0,1476.21
"Department of State","Other","Payment to the Asia Foundation, State",4228,"2","2017","2017-03-31",9753302.6,0
"Department of State","Other","Payments to the Center for Middle Eastern-Western Dialogue, State",4255,"2","2017","2017-03-31",0,3339
"Department of State","Other","Russian Far East Technical Assistance Center, State",4222,"2","2017","2017-03-31",0,77696.78
"Department of State","Other","United States Bilateral Science and Technology Agreements, State",4253,"2","2017","2017-03-31",0,24278.47
"Department of State","Other","United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",3323,"2","2017","2017-03-31",5815.93,86188518.31
"Department of the Interior","Bureau of Indian  Affairs and Bureau of Indian Education","High-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",3949,"2","2017","2017-03-31",NA,NA
"Department of the Interior","Bureau of Indian  Affairs and Bureau of Indian Education","Indian Direct Loan Program Account, Bureau of Indian Affairs, Interior",3818,"2","2017","2017-03-31",NA,NA
"Department of the Interior","Bureau of Indian  Affairs and Bureau of Indian Education","Indian Irrigation Fund, Bureau of Indian  Affairs and Bureau of Indian Education, Interior",3951,"2","2017","2017-03-31",NA,NA
"Department of the Interior","Bureau of Indian  Affairs and Bureau of Indian Education","Low-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",3950,"2","2017","2017-03-31",NA,NA
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education","Alaska Resupply Program, Bureau of Indian Affairs",3896,"2","2017","2017-03-31",59674.62,2391618.07
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education","Claims and Treaty Obligations, Bureau of Indian Affairs (Indefinite)",3817,"2","2017","2017-03-31",2700,66093.94
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education","Construction, Bureau of Indian Affairs",3812,"2","2017","2017-03-31",63464343.19,251712734.61
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",3811,"2","2017","2017-03-31",114987877,93465800.25
