"source","target","value","type"
"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)","National Oceanic and Atmospheric Administration",3000000,"contract"
"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)","National Aeronautics and Space Administration",2978762,"contract"
"R&D- SPACE: OTHER (ADVANCED DEVELOPMENT)","National Aeronautics and Space Administration",2070000,"contract"
"R&D- SPACE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Aeronautics and Space Administration",5232893.98,"contract"
"R&D- SPACE: SCIENCE/APPLICATIONS (ADVANCED DEVELOPMENT)","National Aeronautics and Space Administration",12635077.68,"contract"
"R&D- SPACE: SCIENCE/APPLICATIONS (OPERATIONAL SYSTEMS DEVELOPMENT)","National Aeronautics and Space Administration",1199445.72,"contract"
"R&D-AERO & SPACE TECH-A RES/EXPL DE","National Aeronautics and Space Administration",9783607,"contract"
"R&D-AERO & SPACE TECH-ADV DEV","National Aeronautics and Space Administration",22235533,"contract"
"R&D-DRUG DEPENDENCY-MGMT SUP","National Institutes of Health",97500,"contract"
"R&D-ELECTRONICS & COMM EQ-ADV DEV","Department of the Air Force",3290856,"contract"
"R&D-ELECTRONICS & COMM EQ-ADV DEV","Department of Defense",250000,"contract"
"R&D-ELECTRONICS & COMM EQ-B RES","Department of the Air Force",1067672271.86,"contract"
"R&D-ELECTRONICS & COMM EQ-B RES","Department of Defense",40559126.65,"contract"
"R&D-ELECTRONICS & COMM EQ-B RES","Department of the Navy",26414464.44,"contract"
"R&D-ELECTRONICS & COMM EQ-B RES","Defense Advanced Research Projects Agency",9864216.04,"contract"
"R&D-ELECTRONICS & COMM EQ-B RES","Missile Defense Agency",7026334,"contract"
"R&D-ENVIRONMENTAL SCI-ENG DEV","U.S. Coast Guard",28495.41,"contract"
"R&D-ENVIRONMENTAL SCI-ENG DEV","Foreign Agricultural Service",10000,"contract"
"R&D-HEALTH SVCS-A RES/EXPL DEV","Agency for Healthcare Research and Quality",9614840.25,"contract"
"R&D-HEALTH SVCS-A RES/EXPL DEV","Centers for Medicare and Medicaid Services",3733793,"contract"
"R&D-HEALTH SVCS-A RES/EXPL DEV","Department of the Navy",2443190.92,"contract"
"R&D-HEALTH SVCS-A RES/EXPL DEV","Centers for Disease Control and Prevention",610012,"contract"
"R&D-HEALTH SVCS-A RES/EXPL DEV","Department of Veterans Affairs",110675.41,"contract"
"R&D-MANUFACTURING TECH-COMERCLIZ","Department of the Navy",371051,"contract"
"R&D-MATH & COMPUTER SCI-B RES","Defense Advanced Research Projects Agency",1531716,"contract"
"R&D-MATH & COMPUTER SCI-B RES","Environmental Protection Agency",50000,"contract"
"R&D-MATH & COMPUTER SCI-OPSY DEV","Department of the Navy",115000,"contract"
"R&D-MATH & COMPUTER SCI-OPSY DEV","Office of the Under Secretary for Science and Technology",19989,"contract"
"R&D-MISSILE & SPACE SYS-B RES","Department of the Air Force",751084,"contract"
"R&D-MISSILE & SPACE SYS-B RES","Missile Defense Agency",216939.53,"contract"
"R&D-MISSILE & SPACE SYS-B RES","Department of the Army",200290.12,"contract"
"R&D-MISSILE & SPACE SYS-ENG DEV","National Aeronautics and Space Administration",6000000,"contract"
"R&D-OTHER ENVIRONMENT-ADV DEV","Department of the Navy",85452.25,"contract"
"R&D-OTHER ENVIRONMENT-ENG DEV","Department of the Navy",291042.5,"contract"
"R&D-OTHER GENERAL TRANS-B RES","Centers for Disease Control and Prevention",29904,"contract"
"R&D-OTHER MINING ACTIV-A RES/EXPL D","Centers for Disease Control and Prevention",694176,"contract"
"R&D-OTHER NAT RESOURCE-ENG DEV","National Aeronautics and Space Administration",57953.69,"contract"
"R&D-OTHER R & D-B RES","Department of the Army",30790044.66,"contract"
"R&D-OTHER R & D-B RES","Office of the Under Secretary for Science and Technology",6509426.7,"contract"
"R&D-OTHER R & D-B RES","Food and Drug Administration",5027314.57,"contract"
"R&D-OTHER R & D-B RES","National Institutes of Health",4135255,"contract"
"R&D-OTHER R & D-B RES","Centers for Disease Control and Prevention",3495308,"contract"
"R&D-OTHER R & D-COMERCLIZ","Office of the Under Secretary for Science and Technology",3270164.99,"contract"
"R&D-OTHER R & D-COMERCLIZ","Department of the Navy",88772,"contract"
"R&D-OTHER R & D-COMERCLIZ","Department of Veterans Affairs",60619.2,"contract"
"R&D-OTHER R & D-ENG DEV","Department of the Navy",226632569.99,"contract"
"R&D-OTHER R & D-ENG DEV","Department of the Army",21311653.87,"contract"
"R&D-OTHER R & D-ENG DEV","Federal Highway Administration",1654135,"contract"
"R&D-OTHER R & D-ENG DEV","Department of the Air Force",296530,"contract"
"R&D-OTHER R & D-ENG DEV","Office of the Under Secretary for Science and Technology",42749.16,"contract"
"R&D-OTHER R & D-MGMT SUP","Centers for Disease Control and Prevention",203014,"contract"
"R&D-OTHER R & D-MGMT SUP","Agricultural Research Service",3450,"contract"
"R&D-OTHER SCIENCES-A RES/EXPL DEV","Pipeline and Hazardous Materials Safety Administration",773126,"contract"
"R&D-OTHER SCIENCES-A RES/EXPL DEV","National Oceanic and Atmospheric Administration",315000,"contract"
"R&D-OTHER SCIENCES-A RES/EXPL DEV","Centers for Disease Control and Prevention",267874.36,"contract"
"R&D-OTHER SCIENCES-A RES/EXPL DEV","U.S. Census Bureau",119357,"contract"
"R&D-OTHER SCIENCES-A RES/EXPL DEV","Department of Veterans Affairs",8016,"contract"
"R&D-OTHER SCIENCES-B RES","Office of the Under Secretary for Science and Technology",820000,"contract"
"R&D-OTHER SCIENCES-B RES","Department of Veterans Affairs",170387.82,"contract"
"R&D-OTHER SCIENCES-B RES","National Aeronautics and Space Administration",76350.98,"contract"
"R&D-OTHER SCIENCES-B RES","Smithsonian Institution",8400,"contract"
"R&D-OTHER SCIENCES-OPSY DEV","Office of the Under Secretary for Science and Technology",100000,"contract"
"R&D-OTHER SPACE-B RES","National Aeronautics and Space Administration",57789738.62,"contract"
"R&D-OTHER SVC & DEVELOP-ADV DEV","National Institutes of Health",800839.53,"contract"
"R&D-OTHER SVC & DEVELOP-ENG DEV","Department of the Navy",290789.62,"contract"
"R&D-OTHER SVC & DEVELOP-MGMT SUP","Federal Highway Administration",242987.95,"contract"
"R&D-OTHER SVC & DEVELOP-MGMT SUP","National Aeronautics and Space Administration",40000,"contract"
"R&D-PHYSICAL SCIENCE-A RES/EXPL DEV","Department of the Navy",6900839,"contract"
"R&D-PHYSICAL SCIENCE-A RES/EXPL DEV","Department of the Army",1841756,"contract"
"R&D-PHYSICAL SCIENCE-A RES/EXPL DEV","Defense Logistics Agency",150000,"contract"
"R&D-PHYSICAL SCIENCE-A RES/EXPL DEV","Department of Veterans Affairs",95067.1,"contract"
"R&D-PROD/SERV IMPROVEMENT-B RES","Food and Drug Administration",651762,"contract"
"R&D-SPACE SCIENCE & APPL-A RES/EXPL","National Aeronautics and Space Administration",2420579835.42,"contract"
"R&D-SPACE SCIENCE & APPL-A RES/EXPL","Department of the Air Force",289937430.52,"contract"
"R&D-SPACE SCIENCE & APPL-A RES/EXPL","Defense Advanced Research Projects Agency",5586427.68,"contract"
"R&D-SPACE SCIENCE & APPL-A RES/EXPL","Department of Defense",2469936.21,"contract"
"R&D-SPACE SCIENCE & APPL-A RES/EXPL","Department of the Navy",1452208.57,"contract"
"R&D-SPACE SCIENCE & APPL-B RES","National Aeronautics and Space Administration",319137102.42,"contract"
"R&D-SPACE SCIENCE & APPL-B RES","U.S. Geological Survey",2679957,"contract"
"R&D-SPACE SCIENCE & APPL-B RES","Smithsonian Institution",194425,"contract"
"R&D-SPACE SCIENCE & APPL-ENG DEV","National Aeronautics and Space Administration",3579080,"contract"
"R&D-SPACE STATION-B RES","National Aeronautics and Space Administration",95676,"contract"
"R&D-SPEC MED SVCS-A RES/EXPL DEV","Centers for Medicare and Medicaid Services",24168333.67,"contract"
"R&D-SPEC MED SVCS-A RES/EXPL DEV","Centers for Disease Control and Prevention",498501,"contract"
"R&D-SPEC MED SVCS-A RES/EXPL DEV","Department of Veterans Affairs",99562.29,"contract"
"R&D-SPEC MED SVCS-ADV DEV","Department of the Air Force",832000,"contract"
"R&D-SPEC MED SVCS-ADV DEV","Department of Veterans Affairs",84206,"contract"
"R&D-SPEC MED SVCS-MGMT SUP","Centers for Disease Control and Prevention",16885,"contract"
"R&D-TRANS-HUMAN FACTORS-A RES/EXPL","Department of Veterans Affairs",50000,"contract"
"R&D-TRANS-RAIL-A RES/EXPL DEV","Federal Railroad Administration",2226798.8,"contract"
"R&D-TRANS-ROADS-BRIDGES-B RES","Federal Highway Administration",4534788.97,"contract"
"R&D-URBAN SVCS & DEVELOP-B RES","Department of Veterans Affairs",4780.8,"contract"
"R&D-WATER POLLUTION-A RES/EXPL DEV","Department of the Army",20080.75,"contract"
"R&D-WATER POLLUTION-A RES/EXPL DEV","Department of the Navy",11716,"contract"
"RAIL TRANSPORTATION (ADVANCED)","Federal Railroad Administration",140898,"contract"
"RAIL TRANSPORTATION (BASIC)","Federal Railroad Administration",325225,"contract"
"RAIL TRANSPORTATION (BASIC)","Pipeline and Hazardous Materials Safety Administration",172851,"contract"
"RECREATIONAL & GYMNASTIC EQ","U.S. Immigration and Customs Enforcement",7334,"contract"
"RECREATIONAL SERVICES","Department of the Army",191577.5,"contract"
"RECREATIONAL SERVICES","Department of Veterans Affairs",5760,"contract"
"RECYCLING AND RECLAMATION EQUIPMENT","Agricultural Research Service",177.53,"contract"
"REPAIR OR ALTERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES","Agricultural Research Service",22273.97,"contract"
"REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)","National Park Service",8325.24,"contract"
"REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS","Centers for Disease Control and Prevention",458154.64,"contract"
"RESERVE TRAINING (MILITARY)","Department of the Army",486863,"contract"
"RIGID WALL SHELTERS","Department of the Army",59200,"contract"
"SAFETY AND RESCUE EQUIPMENT","Federal Prison System / Bureau of Prisons",8380,"contract"
"SCIENTIFIC AND MANAGEMENT EDUCATION","Defense Health Agency",782611,"contract"
"SCIENTIFIC AND MANAGEMENT EDUCATION","Office of Health Affairs",346875,"contract"
"SCIENTIFIC AND MANAGEMENT EDUCATION","Department of the Navy",332246.66,"contract"
"SCIENTIFIC AND MANAGEMENT EDUCATION","Office of the Under Secretary for Science and Technology",299700,"contract"
"SCIENTIFIC AND MANAGEMENT EDUCATION","National Aeronautics and Space Administration",136914,"contract"
"SEEDS AND NURSERY STOCK","Agricultural Research Service",15553.02,"contract"
"SERVICES (APPLIED/EXPLORATORY)","U.S. Customs and Border Protection",13124000,"contract"
"SERVICES (APPLIED/EXPLORATORY)","Department of Defense",1959607.94,"contract"
"SERVICES (APPLIED/EXPLORATORY)","Department of the Air Force",1162101,"contract"
"SERVICES (APPLIED/EXPLORATORY)","Department of the Army",769753.86,"contract"
"SERVICES (BASIC)","Defense Logistics Agency",2212521.11,"contract"
"SERVICES (BASIC)","Department of the Navy",2084663,"contract"
"SERVICES (BASIC)","Defense Threat Reduction Agency",975000,"contract"
"SERVICES (BASIC)","Defense Advanced Research Projects Agency",603586.06,"contract"
"SERVICES (BASIC)","Department of the Army",277459.83,"contract"
"SERVICES (ENGINEERING)","Department of the Navy",673312240.69,"contract"
"SERVICES (ENGINEERING)","Department of the Army",5687931.5,"contract"
"SERVICES (ENGINEERING)","Department of the Air Force",1277492,"contract"
"SERVICES (ENGINEERING)","Department of State",682507,"contract"
"SERVICES (ENGINEERING)","National Aeronautics and Space Administration",336185,"contract"
"SHIP AND BOAT PROPULSION COMPONENTS","Department of the Navy",4666144,"contract"
"SIGNS,AD DISPLAYS & IDENT PLATES","Department of the Army",46000,"contract"
"SOCIAL SCIENCES (BASIC)","National Aeronautics and Space Administration",50000,"contract"
"SOCIAL- GERIATRIC","Department of Veterans Affairs",142754.49,"contract"
"SOCIAL- SOCIAL REHABILITATION","Federal Prison System / Bureau of Prisons",170074.62,"contract"
"SOIL PREPARATION EQUIPMENT","Agricultural Research Service",57638.25,"contract"
"SOIL STUDIES","U.S. Army Corps of Engineers - Civil Program Financing Only",96047,"contract"
"SOIL STUDIES","Bureau of Land Management",35656.13,"contract"
"SOIL STUDIES","National Park Service",23126,"contract"
"SOIL STUDIES","Agricultural Research Service",9171.15,"contract"
"SOIL STUDIES","Forest Service",8000,"contract"
"SPACE VEHICLE COMPONENTS","National Aeronautics and Space Administration",9664287,"contract"
"SPACE VEHICLE HANDLING AND SERVICING EQUIPMENT","National Aeronautics and Space Administration",63463,"contract"
"SPACE VEHICLES","National Aeronautics and Space Administration",12823466.29,"contract"
"SPECIAL SERVICE VESSELS","U.S. Geological Survey",73000,"contract"
"SPECIAL STUDIES/ANALYSIS- AIR QUALITY","National Park Service",2923615.98,"contract"
"SPECIAL STUDIES/ANALYSIS- AIR QUALITY","National Archives and Records Administration",78878,"contract"
"SPECIAL STUDIES/ANALYSIS- AIR QUALITY","Forest Service",20472.5,"contract"
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","U.S. Army Corps of Engineers - Civil Program Financing Only",337075.69,"contract"
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","National Oceanic and Atmospheric Administration",297426.4,"contract"
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","U.S. Fish and Wildlife Service",114384.63,"contract"
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","Department of the Army",73349,"contract"
"SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES","Agricultural Research Service",65860,"contract"
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Health Resources and Services Administration",7588878.85,"contract"
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Economic Research Service",621334,"contract"
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Department of Defense",444747,"contract"
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Centers for Disease Control and Prevention",145334.53,"contract"
"SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","Forest Service",88894,"contract"
"SPECIAL STUDIES/ANALYSIS- DEFENSE","Department of Defense",61795381.29,"contract"
"SPECIAL STUDIES/ANALYSIS- DEFENSE","Department of the Army",37926772.58,"contract"
"SPECIAL STUDIES/ANALYSIS- DEFENSE","Department of the Air Force",7201314.08,"contract"
"SPECIAL STUDIES/ANALYSIS- DEFENSE","U.S. Coast Guard",761896.94,"contract"
"SPECIAL STUDIES/ANALYSIS- DEFENSE","Defense Logistics Agency",364971,"contract"
"SPECIAL STUDIES/ANALYSIS- EDUCATIONAL","U.S. Customs and Border Protection",316480.7,"contract"
"SPECIAL STUDIES/ANALYSIS- EDUCATIONAL","Department of Veterans Affairs",136490,"contract"
"SPECIAL STUDIES/ANALYSIS- EDUCATIONAL","Department of the Army",15000,"contract"
"SPECIAL STUDIES/ANALYSIS- EDUCATIONAL","Millennium Challenge Corporation",6350,"contract"
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","Bureau of Reclamation",221413.89,"contract"
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","U.S. Army Corps of Engineers - Civil Program Financing Only",194133,"contract"
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","Bureau of Land Management",170702,"contract"
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","U.S. Geological Survey",168154.8,"contract"
"SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL","U.S. Fish and Wildlife Service",83045,"contract"
"SPECIAL STUDIES/ANALYSIS- ENERGY","Office of Government-wide Policy",200000,"contract"
"SPECIAL STUDIES/ANALYSIS- ENERGY","Department of Energy",100000,"contract"
"SPECIAL STUDIES/ANALYSIS- ENERGY","Federal Energy Regulatory Commission",5000,"contract"
"SPECIAL STUDIES/ANALYSIS- ENERGY","National Aeronautics and Space Administration",2400,"contract"
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","Environmental Protection Agency",2850869,"contract"
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","National Aeronautics and Space Administration",167383,"contract"
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","Food and Drug Administration",148652,"contract"
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","General Services Administration",95000,"contract"
"SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","U.S. Fish and Wildlife Service",78637.96,"contract"
"SPECIAL STUDIES/ANALYSIS- GEOLOGICAL","U.S. Geological Survey",227456.58,"contract"
"SPECIAL STUDIES/ANALYSIS- GEOLOGICAL","National Park Service",76582.12,"contract"
"SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL","National Park Service",9600,"contract"
"SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL","U.S. Fish and Wildlife Service",5698,"contract"
"SPECIAL STUDIES/ANALYSIS- HISTORICAL","Department of the Army",272516.33,"contract"
"SPECIAL STUDIES/ANALYSIS- HISTORICAL","National Park Service",73000,"contract"
"SPECIAL STUDIES/ANALYSIS- HISTORICAL","U.S. Army Corps of Engineers - Civil Program Financing Only",24291.2,"contract"
"SPECIAL STUDIES/ANALYSIS- HISTORICAL","Department of the Air Force",4035,"contract"
"SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL","Department of Veterans Affairs",100000,"contract"
"SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL","Centers for Disease Control and Prevention",61200,"contract"
"SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL","Federal Communications Commission",8638,"contract"
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","National Park Service",858171.15,"contract"
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","Bureau of Indian Affairs and Bureau of Indian Education",80925,"contract"
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","Forest Service",40000,"contract"
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","Bureau of Land Management",20000,"contract"
"SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE","U.S. Fish and Wildlife Service",10000,"contract"
"SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL","Food and Drug Administration",20000,"contract"
"SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL","National Park Service",13680,"contract"
"SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL","Bureau of Ocean Energy Management",4986.3,"contract"
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","Federal Emergency Management Agency",56778614.69,"contract"
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","Office of the Under Secretary for Science and Technology",8828822.68,"contract"
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","National Protection and Programs Directorate",3335595.49,"contract"
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","U.S. Customs and Border Protection",2465703.97,"contract"
"SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","Office of the Under Secretary for Management",2366215.68,"contract"
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","Food and Drug Administration",4367118.87,"contract"
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","Centers for Disease Control and Prevention",1273815.79,"contract"
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","National Oceanic and Atmospheric Administration",788251.96,"contract"
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","Office of the Chief Procurement Officer",490427.82,"contract"
"SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","Department of Energy",480334.5,"contract"
"SPECIALIZED MEDICAL SUPPORT","National Institutes of Health",1426817,"contract"
"SPECIALIZED MEDICAL SUPPORT","Department of Veterans Affairs",1210059.5,"contract"
"SPECIALIZED MEDICAL SUPPORT","Department of the Army",3500,"contract"
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","Department of Defense",410782.44,"contract"
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","U.S. Army Corps of Engineers - Civil Program Financing Only",205596.37,"contract"
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","Forest Service",180989.03,"contract"
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","Department of the Air Force",79910,"contract"
"STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL","National Park Service",25360.98,"contract"
"STUDY/CHEMICAL-BIOLOGICAL","Consumer Product Safety Commission",767885.6,"contract"
"STUDY/CHEMICAL-BIOLOGICAL","Department of the Army",588706,"contract"
"STUDY/CHEMICAL-BIOLOGICAL","Federal Aviation Administration",176530,"contract"
"STUDY/CHEMICAL-BIOLOGICAL","Centers for Disease Control and Prevention",165599.25,"contract"
"STUDY/CHEMICAL-BIOLOGICAL","National Institutes of Health",132203,"contract"
"SUBSISTENCE (BASIC)","Department of the Army",289865,"contract"
"SUBSURFACE MINING EQUIPMENT (BASIC)","Centers for Disease Control and Prevention",247018,"contract"
"SUPPORT- ADMINISTRATIVE: LIBRARY","Environmental Protection Agency",2429250.83,"contract"
"SUPPORT- ADMINISTRATIVE: LIBRARY","Department of Veterans Affairs",172906.18,"contract"
"SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT","Agency for International Development",6533437,"contract"
"SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT","Department of Energy",40595,"contract"
"SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT","Federal Bureau of Investigation",15775,"contract"
"SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A)","U.S. Army Corps of Engineers - Civil Program Financing Only",84165.2,"contract"
