"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"General Services Administration","Real Property Activities",1459,"Federal Buildings Fund - Recovery Act, General Services Administration",117.32,2682180.08,4733
"General Services Administration","Real Property Activities",1458,"Federal Buildings Fund, General Services Administration",5057068451,12016747243,4732
"General Services Administration","General Activities",1457,"Working Capital Fund, General Services Administration",390490033,390721677.2,4731
"General Services Administration","Supply and Technology Activities",1456,"Acquisition Services Fund, General Services Administration",6512852985,5960612829,4730
"General Services Administration","General Activities",1455,"Pre-Election Presidential Transition, General Services Administration",0,5573187.85,4724
"General Services Administration","General Activities",1454,"Expenses, Electronic Government (E-Gov) Fund, General Services Administration",0,0,4723
"General Services Administration","Real Property Activities",1453,"Real Property Relocation, General Services Administration",0,11380887.14,4722
"General Services Administration","General Activities",1452,"Expenses, Government-Wide Policy, General Services Administration",32493098.76,30915796.96,4719
"General Services Administration","General Activities",1451,"Office of Inspector General - Recovery Act, General Services Administration",0,9238.55,4717
"General Services Administration","General Activities",1450,"Operating Expenses, General Services Administration",27921544.94,34603164.89,4716
"General Services Administration","General Activities",1449,"Office of Inspector General, General Services Administration",30956283.18,25301121.64,4715
"General Services Administration","General Activities",1448,"Expenses, Presidential Transition, General Services Administration",17,11691.98,4714
"General Services Administration","General Activities",1447,"Allowances and Office Staff for Former Presidents, General Services Administration",2125731.34,2389591.15,4713
"Department of Veterans Affairs","Benefits Programs",1439,"Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",106387196.5,1204240408,4705
"Department of Veterans Affairs","Veterans Health Administration",1438,"General Post Fund, National Homes, Veterans Affairs",9930135.56,113876682.1,4704
"Department of Veterans Affairs","Benefits Programs",1437,"United States Government Life Insurance Fund, Veterans Affairs",369208.22,1191642.91,4703
"Department of Veterans Affairs","Benefits Programs",1436,"Post-Vietnam Era, Veterans Education Account, Veterans Affairs",102649.05,61752125.86,4702
"Department of Veterans Affairs","Benefits Programs",1435,"National Service Life Insurance Fund, Veterans Affairs",386889776,111500666.7,4701
"Department of Veterans Affairs","Departmental Administration",1434,"Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",33798.71,1697314.26,4700
"Department of Veterans Affairs","Departmental Administration",1426,"National Cemetery Administration Facilities Operation Fund, Veterans Affairs",0,1381917.01,4692
"Department of Veterans Affairs","Veterans Health Administration",1425,"Medical Care Collections Fund, Veterans Affairs",0,0,4691
"Department of Veterans Affairs","Departmental Administration",1424,"Franchise Fund, Veterans Affairs",670060055,452549668.3,4690
"Department of Veterans Affairs","Departmental Administration",1423,"Supply Fund, Veterans Affairs",876338439.3,1946379834,4689
"Department of Veterans Affairs","Benefits Programs",1422,"Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",719092.7,2379050.3,4687
"Department of Veterans Affairs","Departmental Administration",1421,"Pershing Hall Revolving Fund, Veterans Affairs",28809.77,2539415.78,4686
"Department of Veterans Affairs","Veterans Health Administration",1420,"Canteen Service Revolving Fund, Veterans Affairs",189571453.7,359103198.8,4685
"Department of Veterans Affairs","Benefits Programs",1419,"Service-Disabled Veterans Insurance Fund, Veterans Affairs",79384421.48,116038863.6,4684
"Department of Veterans Affairs","Benefits Programs",1418,"Veterans Reopened Insurance Fund, Veterans Affairs",12397210.46,93154462.45,4683
"Department of Veterans Affairs","Benefits Programs",1417,"Servicemen's Group Life Insurance Fund, Veterans Affairs",380256015.6,414084201.1,4682
"Department of Veterans Affairs","Departmental Administration",1416,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",70857537.62,111246699.4,4680
"Department of Veterans Affairs","Benefits Programs",1415,"Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",66000,55656755,4679
"Department of Veterans Affairs","Benefits Programs",1414,"Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",650005.48,4400248.97,4678
"Department of Veterans Affairs","Benefits Programs",1413,"Veterans Housing Benefit Program Fund Program Account, Veterans Benefits Administration, Veterans Affairs",325892631.1,886264141.1,4677
"Department of Veterans Affairs","Benefits Programs",1412,"Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",229130.38,205199.47,4676
"Department of Veterans Affairs","Departmental Administration",1411,"Grants for the Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",0,55303991.44,4674
"Department of Veterans Affairs","Departmental Administration",1410,"Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",104896725.2,722000189.7,4673
"Department of Veterans Affairs","Veterans Health Administration",1409,"Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",2775051225,2112126033,4672
"Department of Veterans Affairs","Departmental Administration",1408,"Office of Inspector General, Departmental Administration, Veterans Affairs",80552167.61,107724273.5,4670
"Department of Veterans Affairs","Veterans Health Administration",1407,"Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",235600020.8,208000659.3,4669
"Department of Veterans Affairs","Departmental Administration",1406,"Information Technology Systems, Departmental Administration, Veterans Affairs",1997606394,2780343948,4667
"Department of Veterans Affairs","Veterans Health Administration",1405,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",8483501.89,72313178.81,4666
"Department of Veterans Affairs","Veterans Health Administration",1404,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",3004705127,4744585744,4665
"Department of Veterans Affairs","Veterans Health Administration",1403,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",276222481.7,672014825.7,4664
"Department of Veterans Affairs","Veterans Health Administration",1402,"Expenses, Medical Services, Veterans Health Administration, Veterans Affairs",24520603219,30126579979,4663
"Department of Veterans Affairs","Veterans Health Administration",1401,"Expenses, Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",3161652598,4189136288,4661
"Department of Veterans Affairs","Departmental Administration",1400,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",2018951908,2110094097,4660
